name,address_street,city,state,zip,country,phone,website,google_maps_url,category_primary,category_secondary,google_rating,google_reviews_count,hours,review_keywords,hour
Filipino Asian Store,2490 Patterson Rd # 3,Grand Junction,CO,81505,US,(970) 242-2477,,"https://www.google.com/maps/place/Filipino+Asian+Store/@39.0920024,-108.5955965,17z/data=!3m1!4b1!4m6!3m5!1s0x87471d184a16a8fd:0xa10ba2e1f40b7517!8m2!3d39.0920024!4d-108.5955965!16s%2Fg%2F1tdpb2dx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Supermarket & Grocery,,0,0,,,
Julie's Kitchen,3750 Astrozon Blvd,Colorado Springs,CO,80910,US,(719) 596-4019,https://m.facebook.com/Julies-Kitchen-Colorado-Springs-1316043748422112/,https://www.google.com/maps/place/Julie%27s+Kitchen/data=!4m7!3m6!1s0x871344069224c651:0x14799ae9ce567c5e!8m2!3d38.7960695!4d-104.7599166!16s%2Fg%2F11cmr4fw0x!19sChIJUcYkkgZEE4cRXnxWzumaeRQ?authuser=0&hl=en&rclk=1,Restaurant,,4.5,650,11 AM-6:30 PM,"hawaiian food, lechon kawali, chicken katsu, desserts, island, loco moco, poke, spam musubi, teriyaki, lumpia",
Paborito - Filipino BBQ,707 Federal Blvd,Denver,CO,80204,US,(720) 900-7112,http://www.paboritobbq.square.site/,https://www.google.com/maps/place/Paborito+-+Filipino+BBQ/data=!4m7!3m6!1s0x876c7fc5291cf249:0x808b09fd4ea7387!8m2!3d39.7277348!4d-105.0255814!16s%2Fg%2F11y5gv2145!19sChIJSfIcKcV_bIcRh3Pq1J-wCAg?authuser=0&hl=en&rclk=1,Quick Bites & Turo-Turo,Restaurant,4.6,80,11 AM-9 PM,"filipino food, pancit, chicken inasal, lumpia, lechon kawali, sisig, rice, pork, atsara, kare kare",
Philippine Oriental Market & Gifts,1775 B St,Colorado Springs,CO,80906,US,(719) 527-0078,,https://www.google.com/maps/place/Philippine+Oriental+Market+%26+Gifts/data=!4m7!3m6!1s0x8713439c0d65ab87:0x18b04a203e3f19ae!8m2!3d38.7734527!4d-104.792975!16s%2Fg%2F1v1slpbn!19sChIJh6tlDZxDE4cRrhk_PiBKsBg?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.3,79,10:30 AM-4 PM,"filipino food, prices, pork, small business, dessert, gem",
RJ Foodies & Catering Services,1402 Harrison Rd,Colorado Springs,CO,80905,US,(719) 217-5093,https://rj-foodies-and-catering-services.ueniweb.com/,"https://www.google.com/maps/place/RJ+Foodies+%26+Catering+Services/@38.7961868,-104.8012032,17z/data=!3m1!4b1!4m6!3m5!1s0x871345e8c4e24ae7:0xcde45f7fa55527d9!8m2!3d38.7961868!4d-104.8012032!16s%2Fg%2F11hzysg3cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Quick Bites & Turo-Turo,Restaurant,4.3,58,Open 24 hours,"food truck, filipino food, lumpia, pancit, festival, beef bulgogi, sisig, pork belly, grilled chicken, plate",
Sarap! Filipino Restaurant,3743 Bloomington St,Colorado Springs,CO,80922,US,(719) 698-7996,https://sarapcs.com/,https://www.google.com/maps/place/Sarap!+Filipino+Restaurant/data=!4m7!3m6!1s0x8713499432652e21:0x89388c41214e3e5f!8m2!3d38.8864125!4d-104.7162069!16s%2Fg%2F11y76cr2_6!19sChIJIS5lMpRJE4cRXz5OIUGMOIk?authuser=0&hl=en&rclk=1,Restaurant,,4.2,173,11 AM-8 PM,"filipino food, lumpia, pancit, halo halo, sisig, kare kare, lechon kawali, chicken adobo, cassava cake, ube cheesecake",
The Orange Crunch Filipino Staples and Delights,14200 E Alameda Ave Aurora Eatery,Aurora,CO,80012,US,(720) 742-5380,,https://www.google.com/maps/place/The+Orange+Crunch+Filipino+Staples+and+Delights/data=!4m7!3m6!1s0x876c631ff0960f83:0xde420dc144ff0762!8m2!3d39.7082577!4d-104.823209!16s%2Fg%2F11rvyyw2h0!19sChIJgw-W8B9jbIcRYgf_RMENQt4?authuser=0&hl=en&rclk=1,Restaurant,,4.7,6,,"filipino food, lumpia, pancit",
Adobo Republic,3150 Cranberry Hwy,Wareham,MA,2538,US,(774) 326-0260,http://www.adoborepublicma.us/,https://www.google.com/maps/place/Adobo+Republic/data=!4m7!3m6!1s0x89e4c7c7f1e2ac0b:0xc24b34b683f4e3bb!8m2!3d41.7527236!4d-70.6340637!16s%2Fg%2F11pydt6sd0!19sChIJC6zi8cfH5IkRu-P0g7Y0S8I?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,,4.9,45,11:30 AM-5 PM,"filipino food, empanadas, churros, pork, food truck, lumpia, pancit, chicken adobo, ube, halo halo",
Aplaya Kitchen + Tiki Bar,483 Main St,Chatham,MA,2633,US,(508) 348-5132,http://www.aplayacapecod.com/,"https://www.google.com/maps/place/Aplaya+Kitchen+%2B+Tiki+Bar/@41.6795673,-69.9568135,17z/data=!3m1!4b1!4m6!3m5!1s0x89fb15f4e9644781:0x83c7e811520efcc!8m2!3d41.6795673!4d-69.9568135!16s%2Fg%2F11v0wz75pp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Restaurant,,4.5,103,12 PM-12 AM,"atmosphere, the menu, dinner, lumpia, filipino food, bartender, dog, table, tacos, siopao",
Kuya's Cooking,77 Ferry St,Everett,MA,2149,US,(617) 863-6375,http://www.kuyascooking.com/,https://www.google.com/maps/place/Kuya%27s+Cooking/data=!4m7!3m6!1s0x89e371007a1aee91:0x12823e0a2731b3a7!8m2!3d42.4066789!4d-71.0467194!16s%2Fg%2F11hhpwzrs6!19sChIJke4aegBx44kRp7MxJwo-ghI?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,Restaurant,4.3,6,,filipino food,
Lola's Pinoy Pastry,3 Marble St,Stoneham,MA,2180,US,(857) 267-3488,http://www.lolaspinoypastry.com/,https://www.google.com/maps/place/Lola%27s+Pinoy+Pastry/data=!4m7!3m6!1s0x89e3750775ec4c83:0x1a0d7b7751883f86!8m2!3d42.4741779!4d-71.1011933!16s%2Fg%2F11vspg5t_g!19sChIJg0zsdQd144kRhj-IUXd7DRo?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,5,2,9 AM-12 PM,ube ice cream,
Pinoy Food Mart,157 Grove St,Chicopee,MA,1020,US,(413) 592-3421,,"https://www.google.com/maps/place/Pinoy+Food+Mart/@42.1545483,-72.5845593,17z/data=!3m1!4b1!4m6!3m5!1s0x89e6dd918cffb473:0x2a322e2bbbe28903!8m2!3d42.1545483!4d-72.5845593!16s%2Fg%2F1261_1q12?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgzMC4wIKXMDSoASAFQAw%3D%3D",Supermarket & Grocery,,0,0,,,
Pinoy Republic & Sons,545 SW Cutoff,Worcester,MA,1607,US,(508) 890-8600,https://m.facebook.com/bestfilipinostore/,https://www.google.com/maps/place/Pinoy+Republic+%26+Sons/data=!4m7!3m6!1s0x89e405a7cb70336b:0xb921e82809998a77!8m2!3d42.2112565!4d-71.7968612!16s%2Fg%2F1jkwkcll5!19sChIJazNwy6cF5IkRd4qZCSjoIbk?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.8,201,10 AM-6 PM,"filipino food, prices, halo halo, selection, coffee, ship, pancit, box, to go, balikbayan box",
Surepinoy Oriental Food Mart,145 Water St,Quincy,MA,2169,US,(617) 328-8880,http://www.surepinoy.com/index.html,https://www.google.com/maps/place/Surepinoy+Oriental+Food+Mart/data=!4m7!3m6!1s0x89e37cccebca0e91:0x289a9e4e5cfd850d!8m2!3d42.241824!4d-71.003987!16s%2Fg%2F1td54fqg!19sChIJkQ7K68x844kRDYX9XE6emig?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.6,100,9:30 AM-7:30 PM,"filipino food, area, pastries, prices",
A Taste of the Philippines,907 E Broad St,Cookeville,TN,38501,US,(931) 854-1618,http://www.facebook.com/atasteofthephilippines/,https://www.google.com/maps/place/A+Taste+of+the+Philippines/data=!4m7!3m6!1s0x8867226445efdf1d:0x4af5d2428fd68fbd!8m2!3d36.1637111!4d-85.4858521!16s%2Fg%2F11cs6khdbz!19sChIJHd_vRWQiZ4gRvY_Wj0LS9Uo?authuser=0&hl=en&rclk=1,Restaurant,,5,4,,,
Ate's Filipino Kitchen,2195 Nolensville Pk,Nashville,TN,37211,US,,http://atenashville.com/,https://www.google.com/maps/place/Ate%27s+Filipino+Kitchen/data=!4m7!3m6!1s0x886466fb84f392a1:0x7ccb88ff8e25cb87!8m2!3d36.1262411!4d-86.7533643!16s%2Fg%2F11hbqdwc5v!19sChIJoZLzhPtmZIgRh8sljv-Iy3w?authuser=0&hl=en&rclk=1,Restaurant,,4.3,4,,,
Bomb Pinoy,2627 Broad St,Chattanooga,TN,37402,US,(510) 927-4669,,https://www.google.com/maps/place/Bomb+Pinoy/data=!4m7!3m6!1s0x88605f3137184d41:0xb2436bf60469dd2d!8m2!3d35.0264229!4d-85.3177726!16s%2Fg%2F11s4qnqjdh!19sChIJQU0YNzFfYIgRLd1pBPZrQ7I?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,Quick Bites & Turo-Turo,4.8,23,,"filipino food, lumpia, food truck, pork belly, rice, adobo, area, lunch",
Casarap,6195 Macon Rd # 1,Memphis,TN,38134,US,(901) 937-7798,https://www.casarapmemphis.com/,https://www.google.com/maps/place/Casarap/data=!4m7!3m6!1s0x887f832e59d6015d:0x6577bbf33bf8f377!8m2!3d35.1621921!4d-89.8567137!16s%2Fg%2F1tcwrxbt!19sChIJXQHWWS6Df4gRd_P4O_O7d2U?authuser=0&hl=en&rclk=1,Restaurant,,4.6,112,10 AM-6 PM,"lumpia, pancit, price, grocery, adobo, fish, hospitality, fried pork belly, lechon, selection",
Filbilly's Authentic Filipino BBQ Diner,3077 US-25E,Tazewell,TN,37879,US,(423) 259-4567,,https://www.google.com/maps/place/Filbilly%27s+Authentic+Filipino+BBQ+Diner/data=!4m7!3m6!1s0x885b7fdf52ce8f25:0xa6b744518c46921f!8m2!3d36.4866855!4d-83.5889779!16s%2Fg%2F11y99zqdmk!19sChIJJY_OUt9_W4gRH5JGjFFEt6Y?authuser=0&hl=en&rclk=1,Restaurant,,4.5,53,11 AM-7 PM,"lumpia, teriyaki chicken, steak, pancit, crab rangoon, seafood boil, pork dumplings, soy sauce, kitchen, pork belly",
FiliChateau,1097 Weston Dr,Mt. Juliet,TN,37122,US,(615) 288-4257,http://www.filichateau.com/,https://www.google.com/maps/place/FiliChateau/data=!4m7!3m6!1s0x886415006feb0e65:0x8771cc67cc7c850d!8m2!3d36.1858125!4d-86.5117844!16s%2Fg%2F11wtw52fwb!19sChIJZQ7rbwAVZIgRDYV8zGfMcYc?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,4.8,54,7 AM-4 PM,"cinnamon rolls, desserts, baklava, pistachio, atmosphere, pecan, halo halo, ensaymada, murals, ube",
Fil-Thai,13 N Main St,Sparta,TN,38583,US,(931) 837-8424,,https://www.google.com/maps/place/Fil-Thai/data=!4m7!3m6!1s0x88672f004350924f:0xfac91dd58efe2b53!8m2!3d35.9262324!4d-85.4641461!16s%2Fg%2F11x1nm54sm!19sChIJT5JQQwAvZ4gRUyv-jtUdyfo?authuser=0&hl=en&rclk=1,Restaurant,,4.8,74,10:30 AM-9 PM,"price, fried rice, drunken noodles, servers, yangnyeom chicken, sampler, appetizer, adobo, pot stickers, truck",
Grace's Lumpia,633 S Jefferson Ave P,Cookeville,TN,38501,US,(931) 263-1701,,https://www.google.com/maps/place/Grace%27s+Lumpia/data=!4m7!3m6!1s0x88672335d5916d3b:0x6acb34672f6ab1fc!8m2!3d36.1476881!4d-85.5010746!16s%2Fg%2F11smgw1h7x!19sChIJO22R1TUjZ4gR_LFqL2c0y2o?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,Restaurant,5,172,10:30 AM-6 PM,"filipino food, pork, pancit, food truck, garlic rice, plate, adobo, cheeseburger, lunch, bbq",
Little Manila Oriental Store,1426 S Moore Rd B & C,East Ridge,TN,37412,US,(423) 296-9990,http://www.littlemanilaorientalstore.com/,https://www.google.com/maps/place/Little+Manila+Oriental+Store/data=!4m7!3m6!1s0x8860673dfc2be217:0x781f08a99bdcb1cb!8m2!3d34.9964312!4d-85.2367401!16s%2Fg%2F11ght0gg6f!19sChIJF-Ir_D1nYIgRy7Hcm6kIH3g?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.8,63,12-6 PM,"filipino food, asian food, selection, pandesal, lumpia, baked, people, meal",
Maemax Market,2106 Gallatin Pike N,Madison,TN,37115,US,(615) 323-5995,http://www.maemaxmarket.com/,"https://www.google.com/maps/place/Maemax+Market/@36.3043858,-86.692002,17z/data=!3m1!4b1!4m6!3m5!1s0x886445216d22f497:0x7a0d73dcd4ac3526!8m2!3d36.3043858!4d-86.692002!16s%2Fg%2F11vlgx411p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Restaurant,Supermarket & Grocery,4.7,262,11 AM-9 PM,"karaoke, buffet, lumpia, chicken adobo, the menu, grocery store, garlic rice, bbq chicken, turon, palabok",
New Manila Restaurant,7849 Rockford Rd,Millington,TN,38053,US,(901) 407-2224,https://www.facebook.com/newmanilarestaurant,https://www.google.com/maps/place/New+Manila+Restaurant/data=!4m7!3m6!1s0x887f7ba3ef815a33:0x63e4b20845cb2b6e!8m2!3d35.340371!4d-89.9025779!16s%2Fg%2F11b7xq15n_!19sChIJM1qB76N7f4gRbivLRQiy5GM?authuser=0&hl=en&rclk=1,Restaurant,,4.6,298,11 AM-7:30 PM,"prices, lumpia, pancit, pork, mom, sisig, check, local, maps, season",
Nora's Filipino Market,2201 Fort Campbell Blvd #400,Clarksville,TN,37042,US,(931) 896-2220,,https://www.google.com/maps/place/Nora%E2%80%99s+Filipino+Market/data=!4m7!3m6!1s0x886529b68378ac9b:0x317b880c4b9b80b7!8m2!3d36.6075!4d-87.4261111!16s%2Fg%2F1s04d7w8f!19sChIJm6x4g7YpZYgRt4CbSwyIezE?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.6,244,10 AM-7 PM,"boba, filipino food, lunch, prices, halo halo, lumpia, chicken adobo, buffet, pancit, longanisa",
PFC Pinoy Food Corner,205 N Riverside Dr,Clarksville,TN,37040,US,(931) 444-8596,,https://www.google.com/maps/place/PFC+Pinoy+Food+Corner/data=!4m7!3m6!1s0x8864d9173969fc6f:0xf53bdd7ec748a813!8m2!3d36.5281282!4d-87.3633897!16s%2Fg%2F11xgr1h486!19sChIJb_xpORfZZIgRE6hIx37dO_U?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,Quick Bites & Turo-Turo,4.7,12,10 AM-9:30 PM,"pancit, filipino food, spring roll, chicken",
Philippine Egg Roll Express,3605 Western Ave,Knoxville,TN,37921,US,(865) 544-3061,https://www.facebook.com/share/1YSXRVbRRW/,"https://www.google.com/maps/place/Philippine+Egg+Roll+Express/@35.9749799,-83.9718268,17z/data=!3m1!4b1!4m6!3m5!1s0x885c3d024a5f3f8d:0xe3e356094b9d98d5!8m2!3d35.9749799!4d-83.9718268!16s%2Fg%2F1wh4gl14?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Restaurant,,4.4,123,11 AM-4 PM,"price, cash, lumpia, pork, pancit, salty, lo mein, brownies, chili sauce, shrimp fried rice",
Pinay's Kitchen,2195 Nolensville Pk,Nashville,TN,37211,US,(615) 810-4586,https://www.youtube.com/user/odet05,https://www.google.com/maps/place/Pinay%27s+Kitchen/data=!4m7!3m6!1s0x886465e490955555:0x3a489c6844e60aeb!8m2!3d36.1273427!4d-86.7531165!16s%2Fg%2F11g8v5_sdd!19sChIJVVWVkORlZIgR6wrmRGicSDo?authuser=0&hl=en&rclk=1,Restaurant,,5,1,,,
Asian Market,4430 The Plaza,Charlotte,NC,28215,US,(704) 595-9998,http://asianmarketplz.com/,https://www.google.com/maps/place/Asian+Market/data=!4m7!3m6!1s0x88541f5a9d945e17:0x37d27487d768f215!8m2!3d35.2489305!4d-80.7798521!16s%2Fg%2F11j5315zhg!19sChIJF16UnVofVIgRFfJo14d00jc?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.4,1125,9:30 AM-8 PM,"seafood, produce, fresh, food court, smell, roast duck, blue crabs, quarter, eel, super-g",
Filipino American Grocery,4604 W Market St Suite #112,Greensboro,NC,27407,US,(336) 944-3228,https://m.facebook.com/filipinoamericangrocery/,https://www.google.com/maps/place/Filipino+American+Grocery/data=!4m7!3m6!1s0x88531bc0a3b95431:0x21c53acc541f71f!8m2!3d36.0711709!4d-79.8623667!16s%2Fg%2F11lrx6g9k4!19sChIJMVS5o8AbU4gRH_dBxaxTHAI?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.9,108,10 AM-7:30 PM,"selection, filipino foods, snacks, prices, owner, condiments, frozen foods, varieties, home",
Filipino Cuisine,331 Western Blvd C,Jacksonville,NC,28546,US,(910) 333-9294,,https://www.google.com/maps/place/Filipino+Cuisine/data=!4m7!3m6!1s0x89a9107a1deb2b1b:0xe03eba56df1917c!8m2!3d34.7650141!4d-77.3838773!16s%2Fg%2F11cmv1wlx9!19sChIJGyvrHXoQqYkRfJHxbaXrAw4?authuser=0&hl=en&rclk=1,Restaurant,,4.7,744,11 AM-9 PM,"pho, halo halo, boba, home, chicken adobo, pork adobo, chicken curry, turon, beef lumpia, chicken lumpia",
Filipino Express Restaurant,3601 Capital Blvd,Raleigh,NC,27604,US,(919) 876-6911,http://filipinoexpressnc.com/,https://www.google.com/maps/place/Filipino+Express+Restaurant/data=!4m7!3m6!1s0x89ac596b01a3fd81:0x7bcc208e74224d30!8m2!3d35.8295114!4d-78.5859792!16s%2Fg%2F11b5yr186z!19sChIJgf2jAWtZrIkRME0idI4gzHs?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.6,321,11 AM-5 PM,"grocery store, prices, pancit, adobo, lumpia, halo halo, area, snacks, dinuguan, lechon kawali",
Filipino Mart,11855 N Tryon St STE A,Charlotte,NC,28262,US,(980) 238-6460,https://filipinomartnc.com/,https://www.google.com/maps/place/Filipino+Mart/data=!4m7!3m6!1s0x88541b2d73035795:0x99e2ae2ccf7353cf!8m2!3d35.3372422!4d-80.7092703!16s%2Fg%2F11h_3ysxcq!19sChIJlVcDcy0bVIgRz1Nzzyyu4pk?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.8,160,9 AM-7 PM,"filipino food, prices, snacks, shelves, ingredients, home, canned, lumpia, drinks, travel",
Island Cuisine Clemmons,6246 Towncenter Dr,Clemmons,NC,27012,US,(336) 448-1004,http://www.islandcuisineclemmons.com/,https://www.google.com/maps/place/Island+Cuisine+Clemmons/data=!4m7!3m6!1s0x8853b99d207f7ff3:0xcccea6f7f74b373a!8m2!3d36.0381159!4d-80.3872258!16s%2Fg%2F11j20lw50t!19sChIJ839_IJ25U4gROjdL9_emzsw?authuser=0&hl=en&rclk=1,Restaurant,,4.7,469,"11 AM-2 PM, 4-8 PM","chef, pork sisig, garlic rice, wings, sweet and sour chicken, beef tapa, chicken adobo, siopao, buffet, bowl",
Krill Restaurant,506 Ramseur St,Durham,NC,27701,US,(919) 246-6146,https://www.krillrestaurant.com/,https://www.google.com/maps/place/Krill+Restaurant/data=!4m7!3m6!1s0x89ace5be8d3bd74f:0xb816c92f33906438!8m2!3d35.9903698!4d-78.8964666!16s%2Fg%2F11sqnbz9ml!19sChIJT9c7jb7lrIkROGSQMy_JFrg?authuser=0&hl=en&rclk=1,Restaurant,,4.3,300,5-9 PM,"lumpia, khao soi, filipino, duck, red snapper, pork sisig, small plates, ceviche, singapore sling, adobo",
Kusinera Filipino Cuisine,3047 Legion Rd,Fayetteville,NC,28306,US,(910) 745-8011,https://www.facebook.com/profile.php?id=61555812179094,https://www.google.com/maps/place/Kusinera+Filipino+Cuisine/data=!4m7!3m6!1s0x89ab13fb7f1aa1a7:0xd452bac149cd6d73!8m2!3d35.0034695!4d-78.9138043!16s%2Fg%2F11vyy3b4ws!19sChIJp6Eaf_sTq4kRc23NScG6UtQ?authuser=0&hl=en&rclk=1,Restaurant,,4.9,271,11:30 AM-8 PM,"filipino food, platter, pancit, lumpia, seasoned, halo halo, sisig, skewers, pork bbq, pork belly",
Kuya Bear Food,1311 S Hawthorne Rd,Winston-Salem,NC,27103,US,,https://www.kuyabearfood.com/,https://www.google.com/maps/place/Kuya+Bear+Food/data=!4m7!3m6!1s0x8853b125e1770b1f:0xb615f29c0051e494!8m2!3d36.0778772!4d-80.2846119!16s%2Fg%2F11tp24dw67!19sChIJHwt34SWxU4gRlORRAJzyFbY?authuser=0&hl=en&rclk=1,Restaurant,,4.2,30,,"burrito, lumpia, bbq, filipino food, truck, price",
Manila Grill,10500 Centrum Pkwy,Pineville,NC,28134,US,,http://www.manilagrillnc.com/,https://www.google.com/maps/place/Manila+Grill/data=!4m7!3m6!1s0x88569d000a366585:0xd8b5a66a39b74bd2!8m2!3d35.0897806!4d-80.8792582!16s%2Fg%2F11w3xdktyt!19sChIJhWU2CgCdVogR0ku3OWqmtdg?authuser=0&hl=en&rclk=1,Restaurant,,4.3,109,11 AM-8:30 PM,"halo-halo, chicken adobo, food court, skewers, lumpia, palabok, money, sinigang, kare-kare, pork",
Mas-A-Wrap,120 Oconner Pl,Aberdeen,NC,28315,US,(910) 992-1440,,https://www.google.com/maps/place/Mas-A-Wrap/data=!4m7!3m6!1s0x8854b3b1cc4ef091:0x35fb4194dd194c2a!8m2!3d35.1363596!4d-79.4342231!16s%2Fg%2F11m9827wv6!19sChIJkfBOzLGzVIgRKkwZ3ZRB-zU?authuser=0&hl=en&rclk=1,Quick Bites & Turo-Turo,Restaurant,4.9,15,,"BBQ, filipino food, food truck, adobo, grilled, pork, veggies",
Master BBQ AVL,870 Riverside Dr,Woodfin,NC,28804,US,(828) 808-5622,https://www.masterbbqusa.com/,https://www.google.com/maps/place/Master+BBQ+AVL/data=!4m7!3m6!1s0x88598b006d7db173:0x62f338be90ec77e6!8m2!3d35.6172399!4d-82.5763724!16s%2Fg%2F11vr1ckhb4!19sChIJc7F9bQCLWYgR5nfskL4482I?authuser=0&hl=en&rclk=1,Restaurant,,4.6,42,4-9 PM,"chicken adobo, food truck, pork skewers, lumpia, filipino bbq, pickles, brewery, patio, pork belly, soy sauce",
Mediterrasian Bistro and Catering,105 W North Carolina 54 #225,Durham,NC,27713,US,(919) 484-0505,http://mediterrasianbistro.com/,https://www.google.com/maps/place/Mediterrasian+Bistro+and+Catering/data=!4m7!3m6!1s0x89ace8ba5c47051b:0xee76cc8a5b894785!8m2!3d35.90977!4d-78.938636!16s%2Fg%2F1td_618p!19sChIJGwVHXLrorIkRhUeJW4rMdu4?authuser=0&hl=en&rclk=1,Restaurant,,4.3,419,11 AM-8:30 PM,"filipino food, buffet, shawarma, lumpia, pancit, chicken skewers, fusion, adobo, chicken curry, philly cheese steak",
Philippine Store and Cuisine,4902 Yadkin Rd,Fayetteville,NC,28303,US,(910) 860-1241,https://www.facebook.com/Philippines-Store-Cuisine-667790649978175/,https://www.google.com/maps/place/Philippine+Store+and+Cuisine/data=!4m7!3m6!1s0x89ab6b227db8c143:0x2cc304e7361587a7!8m2!3d35.0827917!4d-78.9658437!16s%2Fg%2F1tctmnpg!19sChIJQ8G4fSJrq4kRp4cVNucEwyw?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.4,185,11 AM-5 PM,"buffet, filipino food, price, home, lumpia, snacks, balut, lechon, sisig, sinigang",
Pinoy Plates,11113 Gold Pan Rd,Charlotte,NC,28215,US,(980) 622-7048,https://pinoyplatesbycabalen.com/,https://www.google.com/maps/place/Pinoy+Plates/data=!4m7!3m6!1s0x885419b6eefe3ccd:0x916a613dbed36144!8m2!3d35.2577731!4d-80.6789861!16s%2Fg%2F11yfq1j3tl!19sChIJzTz-7rYZVIgRRGHTvj1hapE?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,,5,2,,,
"Pots Pilipino Catering, LLC",5075 Morganton Rd STE 10 C,Fayetteville,NC,28314,US,(910) 302-6943,http://www.potspilipinocatering.com/,"https://www.google.com/maps/place/Pots+Pilipino+Catering,+LLC/data=!4m7!3m6!1s0x89ab6bbab0f806cb:0x6ba5cfc40677823f!8m2!3d35.0677041!4d-78.9630174!16s%2Fg%2F11kbv1cb8f!19sChIJywb4sLprq4kRP4J3BsTPpWs?authuser=0&hl=en&rclk=1",Restaurant,,5,4,9 AM-9 PM,,
Rolling Lumpia NC,851 Dennis Rd #600,Jacksonville,NC,28546,US,(843) 271-4079,,https://www.google.com/maps/place/Rolling+Lumpia+NC/data=!4m7!3m6!1s0x89a91184d665ec55:0xe48d79ea0ab2d4ac!8m2!3d34.7989445!4d-77.4204052!16s%2Fg%2F11mdnt6jhw!19sChIJVexl1oQRqYkRrNSyCup5jeQ?authuser=0&hl=en&rclk=1,Restaurant,,0,0,,,
Thelmart,2813 Lowell Rd,Gastonia,NC,28054,US,(336) 917-8968,https://www.soul-on-lowell.com/menu,https://www.google.com/maps/place/Thelmart/data=!4m7!3m6!1s0x8856bfacca7c9913:0x161d20c9cd64a22d!8m2!3d35.2761782!4d-81.119823!16s%2Fg%2F11y3ytmh56!19sChIJE5l8yqy_VogRLaJkzckgHRY?authuser=0&hl=en&rclk=1,Restaurant,,0,0,,,
Baon Kainan Filipino Food Cart,1027 NE Alberta St,Portland,OR,97211,US,,https://baonkainan.com/,https://www.google.com/maps/place/Baon+Kainan+Filipino+Food+Cart/data=!4m7!3m6!1s0x5495a704ef169a8b:0x6ecd15c3ca26c3c0!8m2!3d45.5591752!4d-122.6548461!16s%2Fg%2F11nxy_j06w!19sChIJi5oW7wSnlVQRwMMmysMVzW4?authuser=0&hl=en&rclk=1,Restaurant,,4.7,76,,"calamansi, brunch, bibingka, palabok, chicken adobo, tosilog, fries, food truck, breakfast bowl, crumble",
Bongga Kusina,3695 SW 185th Ave,Aloha,OR,97078,US,(971) 477-7827,https://bonggakusinaaloha.com/?utm_medium=GMB&utm_source=weblink&utm_content=BonggaKusina,https://www.google.com/maps/place/Bongga+Kusina/data=!4m7!3m6!1s0x54950f0079248b6b:0x21ad40b2009b3b3a!8m2!3d45.4929233!4d-122.8674818!16s%2Fg%2F11y3b6fwlt!19sChIJa4skeQAPlVQROjubALJArSE?authuser=0&hl=en&rclk=1,Restaurant,,4.5,27,11 AM-7 PM,"halo halo, prices, food truck, food cart, egg fried rice, staple, skewers, entrees, bangus, lumpia",
Boodle fight pdx,431 SW Harvey Milk St,Portland,OR,97205,US,,https://www.instagram.com/boodlefightpdx?igsh=a2h3d2hxdG92cGlp,https://www.google.com/maps/place/Boodle+fight+pdx/data=!4m7!3m6!1s0x54950b0043fc06d3:0x9570a211cb849b36!8m2!3d45.5207999!4d-122.6760309!16s%2Fg%2F11y7dcjw_z!19sChIJ0wb8QwALlVQRNpuEyxGicJU?authuser=0&hl=en&rclk=1,Restaurant,,5,5,,,
